"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",15941051
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",19793639
"1AE","AURORA ENERGY METALS LIMITED",,"Materials",0
"1AG","ALTERRA LIMITED","2008-05-16","Food, Beverage & Tobacco",3611092
"1MC","MORELLA CORPORATION LIMITED","2001-01-08","Materials",129405350
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services",4987384
"1VG","VICTORY GOLDFIELDS LIMITED","2021-07-22","Materials",7055165
"29M","29METALS LIMITED","2021-07-02","Materials",1174419314
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Software & Services",633362522
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",42612948
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services",122005117
"3MF","3D METALFORGE LIMITED","2021-03-02","Commercial & Professional Services",4980131
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",427168043
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment",124724118
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services",176695102
"5EA","5E ADVANCED MATERIALS INC.","2022-03-01","Materials",1335106491
"5GG","PENTANET LIMITED","2021-01-29","Telecommunication Services",90218302
"88E","88 ENERGY LIMITED","2000-01-20","Energy",190622489
"8CO","8COMMON LIMITED","2014-08-27","Software & Services",23263774
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials",43002719
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",84762844
"92E","92 ENERGY LIMITED","2021-04-15","Energy",46825278
"99L","99 LOYALTY LIMITED.","2013-10-08","Software & Services",38269531
"9SP","9 SPOKES INTERNATIONAL LIMITED","2016-06-09","Software & Services",5973349
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials",14926291
"A1M","AIC MINES LIMITED","1993-11-04","Materials",162101634
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",146082973
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco",2959752981
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods",9207903
"A4N","ALPHA HPA LIMITED","2007-10-22","Materials",421607911
"A8G","AUSTRALASIAN METALS LIMITED","2021-05-13","Materials",20066390
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco",1042786472
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Materials",13027805
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2004-01-07","Food, Beverage & Tobacco",7627487
"AAR","ASTRAL RESOURCES NL","1986-11-13","Materials",50079056
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Materials",20850893
"AB1","ABARTA RESOURCES LIMITED",,"Materials",0
"ABA","AUSWIDE BANK LTD","1994-09-19","Banks",295699896
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Telecommunication Services",959997587
"ABC","ADBRI LIMITED","1962-05-31","Materials",1905672461
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","2021-12-06","Diversified Financials",40543906
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate",2614817327
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components",11753612
"ABX","ABX GROUP LIMITED","2009-12-24","Materials",35774530
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing",131774296
"AC8","AUSCANN GROUP HOLDINGS LTD","1989-05-03","Pharmaceuticals, Biotechnology & Life Sciences",26432827
"ACB","A-CAP ENERGY LIMITED","2006-05-19","Energy",123243509
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","2008-06-27","Capital Goods",119550618
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","2021-05-14","Health Care Equipment & Services",1021280116
"ACP","AUDALIA RESOURCES LIMITED","2011-07-06","Materials",8305634
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","2014-05-01","Not Applic",113629285
"ACR","ACRUX LIMITED","2004-09-29","Pharmaceuticals, Biotechnology & Life Sciences",21332775
"ACS","ACCENT RESOURCES NL","2005-08-26","Materials",27961637
"ACU","ACUMENTIS GROUP LIMITED","2003-12-05","Real Estate",21038093
"ACW","ACTINOGEN MEDICAL LIMITED","2007-10-16","Pharmaceuticals, Biotechnology & Life Sciences",113897204
"AD1","AD1 HOLDINGS LIMITED","2016-06-23","Media & Entertainment",12840473
"AD8","AUDINATE GROUP LIMITED","2017-06-30","Technology Hardware & Equipment",417049721
"ADA","ADACEL TECHNOLOGIES LIMITED","1998-02-27","Software & Services",72754882
"ADD","ADAVALE RESOURCES LIMITED","1992-02-06","Energy",12414173
"ADH","ADAIRS LIMITED","2015-06-17","Retailing",424864754
"ADN","ANDROMEDA METALS LIMITED","1996-09-17","Materials",298006570
"ADO","ANTEOTECH LTD","2000-04-07","Pharmaceuticals, Biotechnology & Life Sciences",184839807
"ADR","ADHERIUM LIMITED","2015-08-26","Health Care Equipment & Services",19874260
"ADS","ADSLOT LTD.","1987-12-17","Software & Services",36411893
"ADT","ADRIATIC METALS PLC","2018-05-01","Materials",612672252
"ADV","ARDIDEN LTD","2005-10-25","Materials",29351689
"ADX","ADX ENERGY LTD","1987-01-29","Energy",21321384
"ADY","ADMIRALTY RESOURCES NL.","1983-12-01","Materials",19553687
"AE1","AERISON GROUP LTD","2021-07-12","Capital Goods",55068748
"AEE","AURA ENERGY LIMITED","2006-05-30","Energy",103580608
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","2002-12-17","Diversified Financials",606890545
"AEG","ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","2015-12-16","Not Applic",75015358
"AEI","AERIS ENVIRONMENTAL LTD","2000-09-12","Commercial & Professional Services",15395689
"AER","AEERIS LTD","2015-04-01","Media & Entertainment",8947982
"AEV","AVENIRA LIMITED","2006-10-10","Materials",13014097
"AFA","ASF GROUP LIMITED","1985-05-29","Diversified Financials",31707452
"AFG","AUSTRALIAN FINANCE GROUP LTD","2015-05-22","Banks",492505845
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","1962-06-30","Not Applic",9863848574
"AFL","AF LEGAL GROUP LTD","2003-09-19","Commercial & Professional Services",30532356
"AFP","AFT PHARMACEUTICALS LIMITED","2015-12-22","Pharmaceuticals, Biotechnology & Life Sciences",335090432
"AFW","APPLYFLOW LIMITED","2010-11-30","Media & Entertainment",5915216
"AGC","AUSTRALIAN GOLD AND COPPER LTD","2021-01-20","Materials",9200000
"AGD","AUSTRAL GOLD LIMITED","1997-04-18","Materials",41637172
"AGE","ALLIGATOR ENERGY LIMITED","2011-02-03","Energy",216356090
"AGG","ANGLOGOLD ASHANTI LIMITED","1999-11-16","Materials",10147182920
"AGH","ALTHEA GROUP HOLDINGS LIMITED","2018-09-21","Pharmaceuticals, Biotechnology & Life Sciences",42596266
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","2001-12-17","Consumer Services",353633625
"AGJ","AGRICULTURAL LAND TRUST","2003-04-10","Real Estate","N/A"
"AGL","AGL ENERGY LIMITED.","2006-10-12","Utilities",5516527311
"AGN","ARGENICA THERAPEUTICS LIMITED","2021-06-11","Pharmaceuticals, Biotechnology & Life Sciences",31098206
"AGR","AGUIA RESOURCES LIMITED","2008-02-13","Materials",19994854
"AGS","ALLIANCE RESOURCES LIMITED","1994-10-19","Materials",40953448
"AGY","ARGOSY MINERALS LIMITED","1997-04-03","Materials",514778738
"AHC","AUSTCO HEALTHCARE LIMITED","2004-09-24","Health Care Equipment & Services",28708567
"AHF","AUSTRALIAN DAIRY NUTRITIONALS GROUP","2006-06-30","Food, Beverage & Tobacco",31753937
"AHI","ADVANCED HUMAN IMAGING LTD","2015-08-17","Software & Services",35017370
"AHK","ARK MINES LIMITED","2011-05-09","Materials",14723187
"AHN","ATHENA RESOURCES LIMITED","2006-11-22","Materials",5690773
"AHQ","ALLEGIANCE COAL LIMITED","2012-05-29","Materials",198808271
"AHX","APIAM ANIMAL HEALTH LIMITED","2015-12-15","Health Care Equipment & Services",111070283
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","1999-02-22","Transportation",9763014038
"AIB","AURORA GLOBAL INCOME TRUST","2007-12-24","Not Applic",721910
"AII","ALMONTY INDUSTRIES INC.","2021-08-02","Materials",177516209
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","2020-09-15","Commercial & Professional Services",85775048
"AIQ","ALTERNATIVE INVESTMENT TRUST","2005-05-08","Not Applic",30940220
"AIR","ASTIVITA LIMITED","2009-12-16","Capital Goods",14905184
"AIS","AERIS RESOURCES LIMITED","2011-02-02","Materials",293015398
"AIV","ACTIVEX LIMITED","2006-04-11","Materials",8864306
"AIZ","AIR NEW ZEALAND LIMITED","1997-10-01","Transportation",2189501805
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","2007-03-19","Health Care Equipment & Services","N/A"
"AJL","AJ LUCAS GROUP LIMITED","1999-08-10","Capital Goods",81347491
"AJQ","ARMOUR ENERGY LIMITED","2012-04-26","Energy",16315611
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","1999-12-22","Materials",23874494
"AJY","ASAPLUS RESOURCES LIMITED","2012-11-16","Materials",2720000
"AKE","ALLKEM LIMITED","2007-12-04","Materials",6982356042
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","1977-06-01","Consumer Services",34455906
"AKL","AUCKLAND REAL ESTATE TRUST","2005-09-23","Real Estate",63068588
"AKM","ASPIRE MINING LIMITED","2007-02-06","Materials",42133870
"AKN","AUKING MINING LIMITED","2007-10-29","Materials",12037538
"AKO","AKORA RESOURCES LIMITED","2020-12-15","Materials",16192657
"AKP","AUDIO PIXELS HOLDINGS LIMITED","2004-12-24","Consumer Durables & Apparel",533795132
"AL3","AML3D LIMITED","2020-04-20","Capital Goods",9328420
"AL8","ALDERAN RESOURCES LIMITED","2017-06-09","Materials",8936888
"ALA","AROVELLA THERAPEUTICS LIMITED","2002-01-24","Pharmaceuticals, Biotechnology & Life Sciences",24114068
"ALB","ALBION RESOURCES LIMITED","2021-04-30","Materials",6160000
"ALC","ALCIDION GROUP LIMITED","2011-06-24","Health Care Equipment & Services",190210358
"ALD","AMPOL LIMITED","1980-12-31","Energy",7866352288
"ALG","ARDENT LEISURE GROUP LIMITED","2018-11-30","Consumer Services",592436930
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","2015-07-03","Not Applic",398734195
"ALK","ALKANE RESOURCES LIMITED","1980-10-07","Materials",565804249
"ALL","ARISTOCRAT LEISURE LIMITED","1996-07-09","Consumer Services",20965905335
"ALM","ALMA METALS LIMITED","2007-04-18","Energy",17007862
"ALO","ALLOGGIO GROUP LIMITED","2021-11-29","Consumer Services",25091253
"ALQ","ALS LIMITED","1952-07-18","Commercial & Professional Services",5925463964
"ALT","ANALYTICA LIMITED","2000-10-25","Health Care Equipment & Services",4613801
"ALU","ALTIUM LIMITED","1999-08-04","Software & Services",3926981181
"ALV","ALVO MINERALS LIMITED","2021-10-20","Materials",20028336
"ALX","ATLAS ARTERIA","2010-01-25","Transportation",6511733755
"ALY","ALCHEMY RESOURCES LIMITED","2007-11-26","Materials",20014555
"AM7","ARCADIA MINERALS LIMITED","2021-06-25","Materials",17100020
"AMA","AMA GROUP LIMITED","2006-08-31","Commercial & Professional Services",245384490
"AMC","AMCOR PLC","1969-08-28","Materials",27320298661
"AMD","ARROW MINERALS LTD","2005-10-28","Materials",5471795
"AME","ALTO METALS LIMITED","2012-12-20","Materials",43827113
"AMH","AMCIL LIMITED","2000-02-10","Not Applic",364876228
"AMI","AURELIA METALS LIMITED","2007-05-08","Materials",457710889
"AML","AEON METALS LIMITED.","2007-06-14","Materials",32034929
"AMM","ARMADA METALS LIMITED","2021-12-15","Materials",11440000
"AMN","AGRIMIN LIMITED","2007-10-09","Materials",129308619
"AMO","AMBERTECH LIMITED","2004-12-10","Technology Hardware & Equipment",27898446
"AMP","AMP LIMITED","1998-06-15","Diversified Financials",3788682789
"AMS","ATOMOS LIMITED","2018-12-28","Consumer Durables & Apparel",66705476
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","2007-12-05","Health Care Equipment & Services",18802657
"AMX","AEROMETREX LIMITED","2019-12-10","Commercial & Professional Services",36816000
"AN1","ANAGENICS LIMITED","2005-12-09","Pharmaceuticals, Biotechnology & Life Sciences",8177788
"AND","ANSARADA GROUP LIMITED","2020-02-14","Software & Services",146956608
"ANG","AUSTIN ENGINEERING LIMITED","2004-03-09","Capital Goods",136706034
"ANL","AMANI GOLD LIMITED","2006-12-14","Materials",34940162
"ANN","ANSELL LIMITED","1985-08-22","Health Care Equipment & Services",3334135275
"ANO","ADVANCE ZINCTEK LIMITED","2005-02-24","Materials",128776784
"ANP","ANTISENSE THERAPEUTICS LIMITED","2001-12-20","Pharmaceuticals, Biotechnology & Life Sciences",66879398
"ANR","ANATARA LIFESCIENCES LTD","2014-10-16","Pharmaceuticals, Biotechnology & Life Sciences",6422006
"ANW","AUS TIN MINING LTD","2010-10-21","Materials",13766787
"ANX","ANAX METALS LIMITED","2004-06-15","Materials",34436822
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","1969-09-30","Banks",72059946647
"AO1","ASSETOWL LIMITED","2011-05-30","Software & Services",4658639
"AOA","AUSMON RESOURCES LIMITED","2009-03-31","Materials",7208715
"AOF","AUSTRALIAN UNITY OFFICE FUND","2016-06-20","Real Estate",371506568
"AON","APOLLO MINERALS LIMITED","2007-10-31","Materials",36788471
"AOU","AUROCH MINERALS LTD","2011-09-01","Materials",32878464
"APA","APA GROUP","2000-06-13","Utilities",13049625959
"APC","AUSTRALIAN POTASH LIMITED","2011-12-20","Materials",50119734
"APE","EAGERS AUTOMOTIVE LIMITED","1957-04-17","Retailing",3013825333
"APG","AUSTPAC RESOURCES NL","1986-07-24","Materials","N/A"
"APM","APM HUMAN SERVICES INTERNATIONAL LIMITED","2021-11-12","Commercial & Professional Services",2962497686
"APS","ALLUP SILICA LIMITED","2022-05-02","Materials",10563958
"APW","AIMS PROPERTY SECURITIES FUND","2004-12-17","Real Estate",50847515
"APX","APPEN LIMITED","2015-01-07","Software & Services",806931334
"APZ","ASPEN GROUP","1991-04-11","Real Estate",228891966
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","1999-12-17","Materials",8077570
"AQD","AUSQUEST LIMITED","2003-11-25","Materials",15677835
"AQI","ALICANTO MINERALS LIMITED","2012-09-19","Materials",34150512
"AQN","AQUIRIAN LIMITED","2021-07-27","Commercial & Professional Services",24000000
"AQS","AQUIS ENTERTAINMENT LIMITED","2011-12-02","Consumer Services",25919747
"AQX","ALICE QUEEN LIMITED","2004-09-09","Materials",8497573
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","2011-12-20","Transportation",646153482
"AR1","AUSTRAL RESOURCES AUSTRALIA LTD","2021-11-03","Materials",102559284
"AR3","AUSTRALIAN RARE EARTHS LIMITED","2021-07-01","Materials",56622245
"AR9","ARCHTIS LIMITED","2018-09-21","Software & Services",38251465
"ARA","ARIADNE AUSTRALIA LIMITED","1982-10-12","Commercial & Professional Services",131482381
"ARB","ARB CORPORATION LIMITED.","1987-06-26","Automobiles & Components",2576001680
"ARC","ARC FUNDS LIMITED","2000-04-14","Diversified Financials",16541994
"ARD","ARGENT MINERALS LIMITED","2008-04-03","Materials",20302796
"ARE","ARGONAUT RESOURCES NL","1986-01-23","Materials",14424819
"ARF","ARENA REIT.","2013-06-13","Real Estate",1445646776
"ARG","ARGO INVESTMENTS LIMITED","1963-03-31","Not Applic",7006236411
"ARL","ARDEA RESOURCES LIMITED","2017-02-09","Materials",183316794
"ARN","ALDORO RESOURCES LIMITED","2018-09-13","Materials",22819125
"ARO","ASTRO RESOURCES NL","1986-08-14","Materials",18820965
"ARR","AMERICAN RARE EARTHS LIMITED","2011-02-17","Materials",144797302
"ART","AIRTASKER LIMITED","2021-03-23","Media & Entertainment",185247894
"ARU","ARAFURA RESOURCES LIMITED","2003-11-05","Materials",527141893
"ARV","ARTEMIS RESOURCES LIMITED","2007-03-16","Materials",55533239
"ARX","AROA BIOSURGERY LIMITED","2020-07-24","Pharmaceuticals, Biotechnology & Life Sciences",274179366
"AS1","ANGEL SEAFOOD HOLDINGS LTD","2018-02-21","Food, Beverage & Tobacco",31507097
"AS2","ASKARI METALS LIMITED","2021-07-07","Materials",25477354
"ASB","AUSTAL LIMITED","1998-12-08","Capital Goods",705623400
"ASG","AUTOSPORTS GROUP LIMITED.","2016-11-16","Retailing",402000000
"ASH","ASHLEY SERVICES GROUP LIMITED","2014-08-21","Commercial & Professional Services",96463856
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","2020-07-30","Materials",792394114
"ASN","ANSON RESOURCES LIMITED","2010-07-08","Materials",107930795
"ASO","ASTON MINERALS LIMITED","2011-03-04","Materials",131347850
"ASP","ASPERMONT LIMITED.","2000-04-27","Media & Entertainment",48431346
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","2007-10-22","Materials",22132830
"ASW","ADVANCED SHARE REGISTRY LIMITED","2008-06-10","Diversified Financials",44483788
"ASX","ASX LIMITED","1998-10-14","Diversified Financials",15779941655
"AT1","ATOMO DIAGNOSTICS LIMITED","2020-04-16","Health Care Equipment & Services",57089099
"ATA","ATTURRA LIMITED","2021-12-22","Software & Services",134368801
"ATC","ALTECH CHEMICALS LTD","2010-01-27","Materials",106585215
"ATH","ALTERITY THERAPEUTICS LIMITED","2000-03-28","Pharmaceuticals, Biotechnology & Life Sciences",43323742
"ATL","APOLLO TOURISM & LEISURE LTD","2016-11-04","Automobiles & Components",86560172
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","1999-08-09","Materials","N/A"
"ATP","ATLAS PEARLS LTD","1993-12-31","Consumer Durables & Apparel",19254229
"ATR","ASTRON CORPORATION LIMITED","1983-11-11","Materials",68587164
"ATS","AUSTRALIS OIL & GAS LIMITED","2016-07-25","Energy",61923182
"ATU","ATRUM COAL LIMITED","2012-07-24","Materials",8296420
"ATV","ACTIVEPORT GROUP LTD","2021-10-20","Software & Services",30936249
"ATX","AMPLIA THERAPEUTICS LIMITED","2013-12-23","Pharmaceuticals, Biotechnology & Life Sciences",22293210
"AU1","THE AGENCY GROUP AUSTRALIA LTD","2007-12-18","Real Estate",18428793
"AUA","AUDEARA LIMITED","2021-05-18","Consumer Durables & Apparel",8295000
"AUB","AUB GROUP LIMITED","2005-11-16","Insurance",1469077195
"AUC","AUSGOLD LIMITED","2009-12-16","Materials",115680049
"AUE","AURUM RESOURCES LIMITED","2021-11-02","Materials",4800000
"AUH","AUSTCHINA HOLDINGS LIMITED","2003-03-17","Energy",18051853
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","1974-01-01","Not Applic",1240219976
"AUK","AUMAKE LIMITED.","2011-12-07","Retailing",6844022
"AUN","AURUMIN LIMITED","2020-12-09","Materials",25063276
"AUQ","ALARA RESOURCES LIMITED","2007-05-24","Materials",37387750
"AUR","AURIS MINERALS LIMITED","2001-03-15","Materials",14775405
"AUT","AUTECO MINERALS LTD","2005-09-21","Materials",126105432
"AUZ","AUSTRALIAN MINES LIMITED","2001-09-28","Materials",67781337
"AV1","ADVERITAS LIMITED","2012-12-18","Software & Services",36498897
"AVA","AVA RISK GROUP LIMITED","2015-05-11","Technology Hardware & Equipment",53451901
"AVC","AUCTUS INVESTMENT GROUP LIMITED","2011-08-10","Diversified Financials",70678567
"AVD","AVADA GROUP LIMITED","2021-12-17","Commercial & Professional Services",59347370
"AVE","AVECHO BIOTECHNOLOGY LIMITED","1993-08-09","Pharmaceuticals, Biotechnology & Life Sciences",33080625
"AVG","AUSTRALIAN VINTAGE LTD","1992-03-26","Food, Beverage & Tobacco",178110133
"AVH","AVITA MEDICAL INC.","2020-06-24","Pharmaceuticals, Biotechnology & Life Sciences",191534084
"AVJ","AVJENNINGS LIMITED","1994-01-27","Real Estate",214286709
"AVL","AUSTRALIAN VANADIUM LIMITED","2007-02-21","Materials",197894258
