ASX code,Company name,Security type,ISIN code
14D,1414 DEGREES LIMITED,ORDINARY FULLY PAID,AU0000010696
14DAF,1414 DEGREES LIMITED,PERFORMANCE RIGHTS,AU0000280315
14DAI,1414 DEGREES LIMITED,OPTION EXPIRING 21-NOV-2027 EX $0.075,AU0000435133
14DAJ,1414 DEGREES LIMITED,OPTION EXPIRING 21-NOV-2027 EX $0.10,AU0000435141
14DOA,1414 DEGREES LIMITED,OPTION EXPIRING 29-JAN-2028,AU0000452963
29M,29METALS LIMITED,ORDINARY FULLY PAID,AU0000157067
29MAA,29METALS LIMITED,PERFORMANCE RIGHTS,AU0000160848
29MAF,29METALS LIMITED,ORDINARY FULLY PAID DEFERRED,AU0000451858
29MAG,29METALS LIMITED,UNQUOTED ENTITLEMENT (INTERMEDIATE) SECURITY,AU0000451866
29MYY,29METALS LIMITED,RETAIL SHORTFALL PLACEMENT,AU0000451841
T3D,333D LIMITED,ORDINARY FULLY PAID,AU000000T3D6
T3DAK,333D LIMITED,PERFORMANCE RIGHTS,AU0000211757
TGP,360 CAPITAL GROUP,FULLY PAID ORDINARY/UNITS STAPLED SECURITIES,AU000000TGP8
TGPAA,360 CAPITAL GROUP,RIGHTS,AU0000169112
TCF,360 CAPITAL MORTGAGE REIT,ORDINARY UNITS FULLY PAID,AU0000108771
TOT,360 CAPITAL REIT,FULLY PAID UNITS STAPLED SECURITIES,AU000000TOT4
TDO,3D ENERGI LIMITED,ORDINARY FULLY PAID,AU000000TDO8
TDOAC,3D ENERGI LIMITED,PERFORMANCE RIGHTS,AU0000277600
TDOAD,3D ENERGI LIMITED,OPTION EXPIRING 24-DEC-2026 EX $0.18,AU0000449183
3PL,3P LEARNING LIMITED..,ORDINARY FULLY PAID,AU0000003PL9
3PLAE,3P LEARNING LIMITED..,SHARE APPRECIATION RIGHTS,AU0000209231
49M,49 METALS LIMITED,ORDINARY FULLY PAID,AU0000455057
4DI01,4D INFRASTRUCTURE (BENNELONG),4D GLOBAL INFRASTRUCTURE FUND (UNHEDGED),AU60BFL00191
4DX,4DMEDICAL LIMITED,ORDINARY FULLY PAID,AU0000095416
4DXAAA,4DMEDICAL LIMITED,OPTION EXPIRING 28-NOV-2029 EX $0.8448,AU0000447518
4DXAG,4DMEDICAL LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000099558
4DXAJ,4DMEDICAL LIMITED,OPTION EXPIRING 15-MAR-2027 EX $1.20,AU0000099582
4DXAR,4DMEDICAL LIMITED,OPTION EXPIRING 30-JUN-2026 EX $0.48,AU0000263030
4DXAS,4DMEDICAL LIMITED,OPTION EXPIRING 01-OCT-2026 EX $0.51,AU0000263048
4DXAW,4DMEDICAL LIMITED,OPTION EXPIRING 03-NOV-2027 EX $1.60,AU0000304602
4DXAX,4DMEDICAL LIMITED,PERFORMANCE RIGHTS,AU0000325722
4DXAY,4DMEDICAL LIMITED,OPTION EXPIRING 30-JUN-2028 EX $0.7534,AU0000366817
4DXOB,4DMEDICAL LIMITED,OPTION EXPIRING 01-SEP-2027,AU0000419053
4DS,4DS MEMORY LIMITED,ORDINARY FULLY PAID,AU0000004DS8
4DSAAA,4DS MEMORY LIMITED,OPTION EXPIRING 05-FEB-2029 EX $0.073,AU0000320442
4DSAAC,4DS MEMORY LIMITED,OPTION EXPIRING 28-FEB-2028 EX $0.036,AU0000384489
4DSAW,4DS MEMORY LIMITED,OPTION EXPIRING 31-MAY-2027 EX $0.10,AU0000225625
4DSAX,4DS MEMORY LIMITED,OPTION EXPIRING 19-DEC-2027 EX $0.037,AU0000262180
4DSAY,4DS MEMORY LIMITED,OPTION EXPIRING 27-FEB-2028 EX $0.037,AU0000269409
4DSAZ,4DS MEMORY LIMITED,OPTION EXPIRING 31-MAR-2026 EX $0.055,AU0000271975
5EA,5E ADVANCED MATERIALS INC.,CHESS DEPOSITARY INTERESTS 10:1,AU0000186207
5EAAAA,5E ADVANCED MATERIALS INC.,OPTION EXPIRING 21-MAY-2029 EX USD 6.27,AU0000397473
